text,label,uuid
"Muy buena ubicacin. Se encuentra en La Caada, sector de hoteles y restaurantes muy agradable, con grandes rboles y muy tranquilo. A pasos de locomocin, supermercado, buses ADO y taxis. Las habitaciones son todas iguales, amplias, con grandes cubiertas para dejar las cosas y buen bao. El desayuno incluido es americano, normal. La carta de comidas es mexicana, para sacar de apuro si no quieres salir. Restaurantes cerca. Piscina se vea bien, pero no tuvimos oportunidad de usarla.",3,1634
"Tenamos algunos amigos alojados en este hotel y vinimos a visitarlos y pasar el da. ngel nos estaf en la recepcin pidindonos que pagramos $ 20 dlares cada uno para ir a ver a nuestros amigos.  Algo que nadie ms visit ese da tuvo que pagar. Nadie pidi nuestro recibo como dijo. Y ningn otro hotel en Tulum hace esto, incluidos los tres mejores Nomade, Be o Casa Malca. Queramos evitar una escena y le dimos a Angel $ 20 por dos.  Dada la pandemia, entiendo que la gente est tratando de alimentar a sus familias, pero esta no es la forma de hacerlo.  Claramente, al personal no se le paga lo suficiente, ya que se encuentran en condiciones de estafar a los clientes.  Y si Amansala realmente est cobrando por entrar, ahorre su dinero. El lugar est sucio con moscas por todas",0,1947
"Voy a estar en la minoría, pero no me quedé impresionado por esta playa. Si nunca habíamos estado en una playa del Caribe pensé esta playa era un poco mejor que la media. Si viajas desde Cancún a isla mujeres para ver esta playa, diría que no vayas. Ni una amplia playa, algo pequeña // desarrollado con bares, restaurantes y hoteles que dé la claridad del agua no es muy diferente de las otras playas. Caminamos a la playa y dijo, ""esto es verdad?"" llegamos a Isla Mujeres por una variedad de razones pero cruzar esta uno en una decepción.",2,4820
"Este sitio es muy agradable ya que se encuentra dentro de una gruta. Es una opcin fresca y pintoresca para comer despus de visitar el sitio arqueolgico. Si vas con un grupo grande personas (ms de 7) no recomendara ir si tienes mucha hambre, ya...Ms",2,1564
"Tulum es genial, pero slo la punta del iceberg. El mundo Maya es inmensa, un bello enigma que dejar su mente si se toma en ms de dos o tres lugares. Fui con (Andante Tours y que debe haber visitado al menos diez sitios en Mxico. Hay muchos otros grupos que le dar una gran imagen, pero el ""gran imagen"" es lo que asombra.viajes en los meses ms fros van a evitar la peor calor. zapatos de estudio y ropas cmodas son de visita obligada. Y, ya que la escalada pirmides es una gran parte de la visita, una caa de escalada sera til para los menos estable.Esta es una gran experiencia para aquellos con una mente experimental.",4,2351
"Nos hemos alojado en este hotel antes y nos gust la ubicacin, pero nos pareci que el mecanismo podra tener un lavado de cara. Uno siempre debe pregunta un hotel que requiere un depsito de 150 dlares y ahora s por qu. En nuestra reciente estancia en finales de diciembre nos acus de haber roto un estante en la habitacin. La estantera no estaba roto pero haba venido y nos corregido. Por esto nos cobraron 143 dlares! desde nuestro depsito. luego exigieron hablar con el gerente no funcionaba en el sitio pero se negaron a llamarla. Estaba claro que el pobre personal no me atrev a cuestionar la decisin y slo lamentamos que el hotel tiene una psima liderazgo. As que ahora entendemos cmo estn tratando de financiar las reformas necesarias, acusando de daar la",0,42
"Me hosped en Kore Tulum por una semana. El personal en todo momento fue atento y siempre vieron la manera de resolver cualquier necesidad. En general la experiencia es muy buena, salvo por detalles de mantenimiento (fisuras, pintura, falta de agua en el SPA). Los espacios exteriores muy bien logrados, paisaje e iluminacin. En especial Leslie, mi terapeuta en el SPA, expertas manos que lograron mejorar mi espalda, y las meseras Azucena y Vero, amables y al pendiente en todo momento. El personal de recepcin muy amable tambin.  S recomiendo tener una rutina de limpieza de la pequea alberca de mar. Al no tener playa podras meterte en esta pequea rea pero llega mucha basura, adems del sargazo.",4,3461
"La comida y el servicio de este restaurante no son buenos, es un lugar de parada obligada de los tours que incluyena la ciudad de  Valladolid. La comida consiste en un buffet de comidas tpicas de la regin de Yucatn, las cuales no son de...Ms",2,3102
"El hotel est ubicado en el centro de Coatepec, es una casa antigua restaurada muy bonita, el restaurante y desayuno muy rico y agradable. El nico problema para nosotros fue la habitacin sencilla, El colchn es incomodsimo! Adems, las almohadas demasiado altas. De verdad deberan considerar cambiarlo ya que fue imposible descansar durante la noche. Esperbamos ms de un hotel como este respecto a la comodidad. Solo por ese punto no lo recomendara a pesar de que en todo lo dems est bien.",1,407
"Nuestra estancia 11/8-11 /17. No hay agua caliente todo el tiempo. Actualmente slo hay un restaurante en las instalaciones no 3. No haba agua embotellada que ofrecen a los huspedes (tienes que pagar por eso).  Absolutamente no hay servicio de habitacin. La comida es mediocre en el mejor de los casos. Nos alojamos en un estudio. A la llegada nos llevaron a una habitacin estndar con dos camas dobles. Volv a recepcin, donde me mostraron una reserva blanco por una habitacin estndar. Gracias a Dios que impreso mi confirmacin porque se discuti con nosotros durante aproximadamente una hora. Tardaron 2 horas para nuestra reserva a ser corregido. Todas las habitaciones y los niveles en frente de la playa estn en construccin. Esto significa que no podr relajarse en la",0,273
"Una isla representativa de esta ciudad y de todo el estado. Muy concurrida en fiestas de noviembre y visitada por locales, nacionales y extranjeros. La subida requiere de caminar bastante, no muy recomendable para personas mayores. Hay muchos restaurantes de comida tpica y tiendas de recuerdos.",2,893
"Cualquiera te sirve comida, ellos te transmiten el amor por su tierra y sobre todo que no eres un cliente ms, eres parte de su familia!",4,4889
"Visitamos los jardines en nuestro ltimo viaje a la Isla en 2011, y fue impresionante. Ahora, 2014 - que ha cado en muy mal estado. La laguna fue seriamente inundada y haba muy poco vida salvaje de testimonio. Haba 3 Crocodile celebrada en una jaula con muy poca agua y una Boa constrictor en otra. No estoy seguro de por qu estos animales se celebran aqu, pero sus condiciones enfad. Hay un sendero que puede caminar a travs de los bosques que te lleva a la entrada original de la Hacienda - fue un agradable paseo, vimos varias especies de mariposas, pero en general, me decepcion. El gobierno local y federal han dejado que este precioso lugar de gran valor histrico deterioran muy triste estado.",1,1146
"no puedo negar que el lugar es hermoso, la comida est muy bien, pero la atencin. Mi hamburguesa de vegetales estuvo extraordinaria y una de mis amigas sali tambin muy contenta con lo que pidi, pero tardaban mucho con el servicio. Media hora para llevar...Ms",2,4670
"Fuimos al cenote dos ojos y en la entrada nos platicaron de un cenote nuevo (tiene 2 meses abierto al pblico) q est ah mismo, solo avanzas 2 km ms. Se llama cenote los monos, decidimos ir a conocerlo y es un lugar increble!!Al llegar te prestan trajes de neopreno, porque el agua est muy fra, pero con el traje se tolera bien, tambin te prestan una lmpara acatica, y chalecos salvavidas. El lugar es maravilloso, es una cueva llena de estalactitas, el agua completamente cristalina, una gran aventura! Esta muy oscuro, pero con las lmparas todo es genial! Lleva zapatos acuticos y una cmara de agua... vale mucho la pena conocer este lugar! Mis hijos salieron fascinados!!! a pesar de que al principio les dio cierto miedo entrar... fue su paseo favorito!ramos dos adultos y dos nios, pagamos $650 por persona, los nios tambin pagan, para este cenote se necesita ir con un gua, por eso es ms caro pero bien lo vale! bamos solos con el gua y por eso pudimos disfrutarlo mucho. El recorrido por el cenote dura como 30-40 min, y ya despus puedes ir a darte un chapuzn en alguno de los otros cenotes que estn ahi mismo (por el mismo precio) pero son abiertos, no cueva. En los otros cenotes no se necesita gua.Es un lugar increble!! Vale la pena visitarlo!!",4,4624
"Las fotos son increbles, gente amable, pero la ubicacin es antiguo y no est bien mantenido. Estaban renovando la habitacin de al lado del sbado y el domingo, temporada alta. Este lugar tiene nada holstico ... fuimos all y nos bamos a alojar una semana de volver a casa despus de las 2 noches.",1,83
Cocktail Margarita smoke exquisito. La comida y el servicio extraordinarios. Buen lugar para comer en una visita a Tequila,4,2062
"No puedo comentar sobre la comida aqu ya terminamos dejando despus de casi una hora sin signo de nuestro campo de aperitivo y mucho menos el resto de la comida. El servicio era terrible, hasta el punto de nuestro camarero parando por un momento en...recoger mi vaso vaco, y ni siquiera se molest en preguntar si quera una recarga. Cuando mi marido le pas a preguntar sobre nuestra comida bsicamente ignorado nosotros aparte de decir ""me pongo en el orden"". No hay disculpa alguna. En ese momento entramos a la puerta, nos dieron nuestra factura por una bebida y a la izquierda. Y tena una gran noche y comida en otro lugar. No volvera.Ms",0,4042
Tienes que quedarte en una habitación de hotel o tomar tiempo y tu propia comida y estancia en un lugar de playa.Bonita y cómoda si pide ayuda a la gente local. Hay restaurantes o hoteles que reciben a los visitantes en consumir bebidas o comer en sus restaurantes de playa o piscina.,3,4268
"Nos encant este lugar! Pasamos por delante en carritos de golf para explorar la isla y decidieron que sera nuestro lugar de desayuno de la maana siguiente. El propietario se acordaban de nosotros, lo que fue un bonito toque personal. Tuve el Benedict. Mi marido...tena championes, huevos rancheros. Los nios tenan tostadas francesas y tortitas. Mi suegra tena el poblano sofritos rellena. Todo era frescas y tenan increbles combinaciones de sabor. El caf era el mejor - orgnico, con un toque de sabor canela. La cocina estaba abierta y se poda ver la comida preparada. Muy limpio. Sin duda prueba este lugar!Ms",4,1719
"Ya de por s me da mucha impresin meterme en un cenote, mucho ms cuando me bajan colgada de unas sogas! Muy linda experiencia, lo volvera a hacer!",4,3313
La comida es deliciosa y el lugar es muy bonito. Los platillos son muy bastos y el precio es bastante accesible. Las hamacas con vista a la laguna son el mejor lugar para descansar despus de comer.,4,3538
"El lugar es muy bonito, la gente muy amable,pero demasiado caro para lo que ofrece, el agua caliente del bao nunca pudo regularse. No hay ninguna clase de servicio despus de las 8 de la noche, y si se quiere salir del hotel antes de las 9am se tiene que buscar alguien que abra. Un hotel de pueblo que estara muy bien a mitad de precio!",1,2545
"El hotel est de los aos 80 sin embargo es una propiedad hermosa con unos jardines preciosos.  El personal de recepcin a nuestra llegada fue muy amable incluyendo al Se. Roberto la persona de la entrada quien tom nuestra temperatura y nos proporcion gel. El hotel cumple con todos los protocolos de limpieza y distancia social.  La alberca est climatizada, hay canchas de tenis y el restaurante es muy agradable, la comida es un poco cara pero de buen sabor y Francisco nos atendi de maravilla.  Nuestra camarista la seorita Sara se esmer por brindarnos un servicio de excelencia, felicidades por hacer de nuestra estancia un grato recuerdo ya que no son los dueos del hotel sino su personal quien hace que un cliente quiera regresar.  Agradecemos al hotel Misin y a todo su",4,704
"Pasamos 9 noches aqu mientras toma un curso de inmersin de espaol. Fue nuestro hogar lejos de casa - hermoso pequeo hotel con un personal maravilloso, buena comida, excelente ubicacin en el centro de Tlaquepaque. El personal era pequea y por lo tanto personales - nos sentimos como se convirtieron en amigos - que registr con nosotros cada da para ver cmo las clases fuimos y lo que haban hecho durante el da. Las bebidas en el bar eran buenas- pareca un bar de barrio local. El personal ha trabajado all durante aos y aos y genuinamente como cada sobre una familia. Tuvimos una suite junto a la piscina, bastante grande y cmoda, con prctico enfriador filtro de agua caliente, la temperatura de la habitacin y agua fra - no hay necesidad de agua embotellada. Los",4,3903
"Todo sali mal, psimo servicio, errores en los platos que adems llegaron fros, servicio muy inflexible. No se lo recomiendo para nada.Ms",0,4716
Hoy es nuestro ltimo da en Valladolid y psamos a desayunar en este restaurante en donde nuestra experiencia fue increble y nuestro servicio del amigo Marcelino fue muy buena y atenta.,2,4616
"La vista del lago Arareco, que tiene forma como de una ""herradura"", es muy agradable, es un lugar que no est contaminado ni invadido por vendedores. Como para paseo est bien y en el lago todava hay algunos peces. Bueno tambin para ir de pesca o pasear en bote de remo.",3,4180
"Ya s que es donde mucho de la historia de la isla comenz, pero no hay realmente mucho aqu. la casa original est ordenada. No estoy seguro de por qu tienen los monos.",1,1756
"Desde Que LLegamos fuimos atendidos de maravilla, Es un lugar ideal para descansar en compaia dela familia, las cabaas estaban muy limpias, es un lugar ideal para pasar muchos dias en la playa, CERCA DE TODO Y ALEJADO DE LAS MULTITUDES. FELICIDADES ",2,4576
"El lugar se vea atractivo, as que entramos. Un tro de jvenes msicos desafinados cantaban ""Llorona"", y luego su versin de Pink Floyd. Y en general dira que todo fue as: desafinado. La comida muy muy sabrosa pero a veces fra; el servicio de algunos...Ms",2,4786
"Lugar obligado para visitar ,se puede elegir entre varios restaurantes que ofrecen comida tpica y muy buena ,probar la limonada o naranjada .Luego de la comida existe un show gratis con mariachis y bailes tpicos .lugar seguro y de buen comer mexicano .No es barato...Ms",4,4545
"Restaurante altamente recomendable, muy buen servicio y la comida deliciosa. Solo tiene un tache por que no cuentan con cambiador para el bebe.",3,173
"la transportacion y los caminos rurales dejan que desear, aunque la experiencia se hacerla de minero compensa un poco el ajetreo, no lo recomiendo para adultos mayores y persona que no guste del polvo y sol.Acudir con ropa casual, bloqueador sombrero y algo de agua-",2,3477
"Mal servicio, el lugar muy bonito con  mariachi y bailes  tpicos, la comida es decente sin llegar a ser espectacular, bien ubicado, pero el servicio si es psimo,  te descuidan, ped una cubeta de hielos mas de 5 veces y no la llevaron, hasta que...Ms",2,2177
"Despus de estar en un todo incluido, comer el mismo buffet para el desayuno, exploramos la ciudad y nos pareci gallos. La comida est bien pensado, saludable y sabrosa. No te puedes equivocar aqu si ests buscando algo ""normal"" comida.",4,586
"La verdad espereba ms del lugar puesto que lo suelen recomendar mucho, en lo personal no me gusto porque el cenote es pequeo, la. Piscina estaba sucia y el que vende las bebidas te dice un precio y te cobra mas. ",2,213
"Excelente comida pero.....

Muy mal servicio, 
Algo excedido en sal los chiles y los itacates; para las porciones me parecen muy buenas",1,3897
"Puntos positivos - desayuno incluido - servicio (pero el propietario - seora - extrao) , buena ubicacin  - ruidoso, muy ruidoso. Est al lado de la concurrida carretera, de hecho en la esquina de dos calles transitadas. Puedes or y sentir todo. Cuando los coches ventanas muy finas) pasando (empieza temblar. Muy molesto. Noches sin dormir , en el bao de la habitacin es una broma. Es demasiado pequea, cuando te sientas, ni siquiera cerrar las puertas. Las paredes del bao estn hechas de paredes de la ducha. Diseo horrible. Nunca haba visto algo como esto antes  no nos alojaramos de nuevo. Por el precio que se puede encontrar lugares mucho mejor an ms cerca del centro",1,1901
"Sin duda merece la pena el viaje! Mntese en una moto o Gold carrito y dirjase al sur a Punta Sur. Mi esposa y yo estamos en nuestra luna de miel y decidimos visitar Ixchel, la Diosa de la fertilidad. El mar es azul turquesa ... precioso!",4,2014
Es chico y con una hora basta para recorrerlo con gua! El lugar es hermoso y est en un estado muy natural. La playa que muy chica casi no vale la pena baarse ya que es muy interesante la historia para ver y apreciar,4,3587
"La vista del lugar es de lo mejor con una perspectiva a toda la plaza
 El menu es original y la presenacion de los alimentos es buena aunque no sean economicos son aceptables
La atencion es lenta si se visita en los tiempos de la...Ms",3,675
"Tal vez nuestras expectativas eran superiores, habiendo ledo los comentarios de los viajeros que han visitado el lugar, decidimos ir a este restaurante en nuestra visita a Taxco. La realidad es que el lugar es bastante modesto y nada pretencioso, tal vez acorde con los...Ms",2,2077
"La casona es muy linda y esta en muy buen estado, tiene varias tiendas de artesanas donde se pueden comprar regalos y recuerdos de buena calidad y a buen precio",3,1907
"Es muy recomendado visitarlo si gozas de la naturaleza, es un ambiente muy tranquilo para ir en familia y/o con tu pareja",2,1593
"No se si siempre sea as, pero a pesar de que el lugar no estaba lleno, para que alguien nos tomara la orden batallamos como de 10 a 15 min, cada mesero que pasaba cada 2 min le preguntabamos si nos podia tomar la orden...Ms",2,1534
"La comida est regular, desayun chilaquiles con huevo revuelto, el servicio nada fuera de lo comn y eso s, buenos para evadir impuestos, porque para pagar con tarjeta debes consumir arriba de 400 mxp y ms una comisin...",2,4160
"La ubicacin era genial, pero despus de mirar alrededor de la isla nos pareci opciones ms baratas para las mismas comodidades. Adems, nos haban cobrado en una tasa extra cuando hicimos el check out que no nos lo dijo por esto cuando pedimos por el precio. acceso inalmbrico a Internet tambin era slo est disponible en el vestbulo cuando estuvimos all. Me hubiera encantado ver un jacuzzi en la azotea, hay un gazebo pero no hay comodidades.",2,4809
"El hotel tiene muy buenas instalaciones y el servicio del personal lo hace muy acogedor. Fuimos entre semana y no haba buffet en el desayuno, la nica queja es que el servicio de los meseros no fue el mejor, ya que no hacan caso cuando les llamaba y tomaron mal la orden. Por todo lo dems, lo recomiendo ampliamente.",3,537
"Este lugar parece increble, pero es la mejor jugar slo para una fotografa.
Fuimos para el desayuno, esperando a que el servicio 25 minutos, y luego a la orden lo que 45 minutos, por 4 cafs y 4 era deliciosa, nos abrumaban con revueltos,
caro,...mal, y muy lentoMs",1,3087
"Nos quedamos una noche en este hotel. Reserv y pagu la reserva con casi 3 meses de anticipacin por medio de la web del hotel.  Al momento del check in la seorita que nos atendi no saba si nuestra reserva estaba pagada o no (no entiendo como no lo poda ver automticamente), demor un poco, me pidi que le muestre el correo de reserva, lo ley y vio que efectivamente estaba pagada. Fue amable y no hubo mayor problema.  Sin embargo al momento del check out tuvimos el mismo problema pero la persona que nos atendi, el seor Antonio (dijo apellidarse Aguilar), fue en todo momento maleducada y descorts. Dijo que nuestra reserva NO estaba pagada e insista en que pagramos (lo que hubiera sido un pago doble). Le mostr el correo de confirmacin de reserva donde mostraba el",0,2587
"El recorrido es muy bonito, al aire libre, cuenta con varios animales para ver, recomiendo calzado cmodo. ",4,3362
"Nos detuvimos por ste para la cena y nos gust tanto que no tuve opcin pero volver para el desayuno.

El personal era muy amable, el restaurante estaba muy bien decorada, y la comida era deliciosa. Los precios tambin eran razonables; sin duda ms altos...que los restaurantes locales, pero esto era de esperar debido al alto volumen de turistas.Ms",3,1152
"El lugar es mtico, cuenta con impresionantes paisajes que permiten capturar el momento en espectaculares fotografas.  La habitaciones son  acogedoras y cmodas. Les sugiero llevar una buena chamarra y zapatos cmodos ya que los caminos estn empedrados.  Debo decir que la experiencia culinaria fue bastante mala, la sugiero no contraten la habitacin con alimentos incluidos.",2,2042
"Se hospedo pareja de tercera edad, en el area de alberca nada de personal ni para ordenar una bebida, la camarera en los cuartos habia que buscarla. Parecia hotel fantasma. Al dia siguiente salieron corriendo a otro hotel. Carisimo para la nula atencion.",1,1134
"A lo largo de este recorrido por la ""casa cuervo"" se cuenta la historia de el tequila y su elaboracin completa.. Cuenta con recorridos guiados y a lo largo se va ofreciendo tequila para degustar.. cuenta con una cata de tequilas de la familia cuervo...",2,4202
Estuvimos alojados dos matrimonios en estas Cabaas increbles; realmente pasamos unos das maravillosos; desde las personas de recepcin hasta el que sirve la comida o el que hace los tragos; realmente todo el personal es hiperamable; no existe el NO en este lugar ; todo todo lo que solicites y necesites ser solucionado por Elizabeth: que siempre est con una sonrisa y ofreciendo todo tipo de sugerencia para hacer tu estada impecable; Gerardo; Roberto tambin . Realmente se desviven por qu la estada sea impecable. Les cuento algo que realmente hay que tener en cuenta; que el desayuno se puede tomar en la habitacin o en el bar de frescos; que es la opcin de comida organica; exquisita realmente No pueden perderse esas exquusiteces; o el.otro lugar es ziggis que que es,4,1180
"Complejo bien mantenido. Barreras lingsticas. menor y algunos ajustes necesarios para el servicio y la comida en los restaurantes. en general fue un viaje agradable y relajante, ideal para parejas que necesitan un refugio y no son bebedores pesados! Tamao agradable para caminar y moverse.",3,1114
"Interesante por su historia, la entrada no es cara unos 30 mxn, pero el museo no tiene mucho, pero estando ahi es la visita obligada.",3,1861
"Una practica opcion si estas en Valladolid, se encuentra frente de la plaza principal de valladlid, los precios son altos pero los platillos valen la pena.",3,2696
"Nos dieron una mala sensacin el momento en que entramos, pero tenamos una reserva y decidimos honrar. El proyecto bar frente Mulberry es agradable y hace buenas bebidas. Y la playa es espectacular (de ah un 1 vs 0 estrella). Pero todo en el restaurante...era grave. . .

Pedimos vino con nuestra comida - y no vino entradas llegaron. . O cuchillos y tenedores.. Nos llev 10 minutos (tiempo suficiente para que la comida caliente para ir fro) para corregir este contratiempo. cubiertos y vino Y curiosamente, sirven patatas patatas fritas con minscula el guacamole! Mal en todos los sentidos!

Entonces nuestros platos principales llegado nuestro tacos de pato tena 3 bastante grandes huesos en ellas, cuando nos quejamos nos dijeron que esto es normal - ""slo huesos, no basura"". Este es un serio riesgo de asfixia y especialmente ver el restaurante est lleno de nios, deberan esforzarse un poco ms!

Los tacos variados todos saban bastante aburrido y literalmente la nica manera que poda discernir el pato de la carne fue la presencia de huesos!

Y reservamos para ir a la noche de salsa - fue lo suficientemente agradable de ver, pero la banda es demasiado fuerte. Nosotros cambiamos, lejos de la msica como sea posible, pero an as tena que hablar en voz elevada. En nuestra mesa inicial que podamos or los otros. . .

Y como final, se acercaron un insulto 20% de propina automticamente a la factura. ! Dada la experiencia que tuvimos no hubo propina por ellos, y tuvimos que discutir con ellos para tener que reembolsar

muy decepcionante, y fcilmente nuestra experiencia peor comer en Mxico. sin duda un lugar para evitar!Ms",0,4559
"Encontrar en el Mxico profundo de Chiapas un restaurante que se dedique a la cocina italiana y sus sabores tengan tanta autenticidad es de elogiar, he ledo comentarios que se refieren a la espera, mi consejo es, que el que sabe comer, sabe esperar. No...Ms",3,2054
"Pas 4 noches la aurora de la colonial del hotel en 2015 junio. Las camas eran muy cmodas y limpias, y la ubicacin del hotel era genial. Cuanto ms se estn desde el vestbulo, la conexin se vuelve un poco irregular y tuve un poco de ruido de la calle, ya que mi bao estaba al lado del aparcamiento, pero en general una buena relacin calidad-precio.",3,175
Hotel  muy  nuevo  y  con  excelente  calidad. Las  camas  y almohadas muy  cmodas .La  atencin personal  fue  algo  decisivo  para  sentirnos  muy agusto. La  variedad  para  el desayuno  fue  justa. No hay necesidad  de  teneer demasiado  en el men . Muy bien !,4,951
"Estn mejor la comida de los puestos en la plaza de enfrente, no tiene sillas para bebs,
En general ofrece poco comida 6/10",0,3428
"Psimo servicio, no tenamos un mesero asignado nos atendieron 4 meseros diferentes.
Terminamos de comer y no nos retiraron los platos, pedimos la carta de bebidas, nos la dejaron y jams regresaron para tomarnos la orden.
Finalmente, decidimos pedir la cuenta, misma que la pedimos...Ms",1,2324
"De la informacin en el sitio web pareca que habamos pedido una suite con dos habitaciones separadas para dormir y un saln comn. Cuando llegamos result que no tienen tales suites. La informacin del sitio es engaoso. Tienen una habitacin con una habitacin separada para nios que resulta ser un pequeo armario cargada con literas. Estbamos viajando como dos parejas y ya no haba otras habitaciones disponibles terminamos compartiendo una habitacin con dos camas de matrimonio, no demasiado incmodo, pero no lo habamos pagado. El wi-fi era tan dbil que era prcticamente inexistente. Para colmo, nos cobraron por el desayuno, que era claramente anunciado como una propina en el sitio web. Anuncian que tiene aire acondicionado, pero no hay aire acondicionado, que normalmente",1,1658
Tanto el asado y carbonara a little roast chicken and a glass of no saba nada bien. La comida en otros platos de los huspedes pareca es un snack bar pero no en el restaurante con precios por encima de la media. El personal es...bastante atento aunque no hacer la comida nada mejor.Ms,0,337
"Poza azul es un afloramiento de agua en medio del desierto, a 1km aproximadamente de la carretera principal. Tienes unos colores azules en su parte ms profunda que contrastan con el paisaje desrtico de los alrededores, creando una sensacin de irrealidad. No esperas encontrar algo as en medio del desierto. Hay un mirador elevado para que puedas admirarla en todo su esplendor. Tambin hay un lugar sombreado tipo palapa donde puedes cobijarte del sol del desierto, pero echo en falta varias cosas.Debera de haber mas informacin sobre la poza y sobre los alrededores. Solo encuentras informacin general de Cuatro Cinagas y  algo sobre la diversidad de las pozas, pero faltaran algunos mapas, historia geolgica, etc.  Y todo esto debera estar a la sombra, no al sol.",2,292
"Instalaciones bien, cuarto cmodo, se extraa la playa, pero la comida es realmente espantosa, ingredientes de psima calidad, comida mala, nos vamos con una muy mala experiencia, servicio lento en todos los aspectos. Muy decepcionados. Para no volver.",0,707
"Desde que llegamos a Talamantes de Parian, el mesero nos condicion la mesa a que todos tendramos que consumir un cantarito, el cual tiene un costo de $200 pesos, y al final la cuenta result mal, estuvimos a punto de pagar $600 pesos de ms....Ms",0,2172
"Este lugar siempre me deja con laBoca abierta, lo he visitado 4 veces en lapsos fe 6 aos proximadamente, siempre descubro nuevas pirmides, nuevos caminos, nuevas artesanas. Les recomiendo llevar agua para hidratarse, si van a visitar el lugar, no usen gel para cabello, es mejor utilizar una gorra o sombrero, se suda muchsimo y una gorra puede ayudar. Por favor noten que el lugar est lleno de escalones por si tienen problemas con sus rodillas o si llevan gente mayor difcilmente podr llegar a todos los lugares. Hay turistas que dan la explicacion en espaol, ingls e Italiano, la mayora de los guas estn bien instruidos y te dan una muy buena explicacin.Como es un lugar muy concurrido procuren no llevar cosas de valor ya que es fcil que les roben. La primera vez fui con un grupo de amigos y mientras estbamos meditando con los ojos cerrados alguien pas y se llev todas las pertenencias.",4,4134
"Nos alojamos en uno de los bungalows de la playa y es una choza en la playa con un techo de palapa.  Al principio, me pareci que la idea de cabaa en la playa era una buena idea, pero tena agujeros en la pared y el techo, porque es una cabaa en la playa!  Me preocupaba insectos llegar, pero sinceramente no veo ninguna entrando sin embargo, pueden!  El bao era bonito y estaba limpio y tena comodidades. La habitacin no estaba tan limpia. Las paredes realmente necesitan ser fregado. Sin embargo, el personal de limpieza no venga a travs de cada da y - son de entrada y salida rpido.  El registro fue fcil. Te dan la llave de la caja fuerte: el bloqueo y 2 controles remotos, uno para el televisor y uno para el aire acondicionado.  aire acondicionado es ruidoso y s, me",2,3593
